Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1,68895f138c8bdbd0cef77110,672268205351c30413c9837e,APPROVED,Not Applicable,2025-07-29T23:53:59Z,2025-07-29T23:58:42Z,2025-07-31T04:34:17Z,2025-07-29T23:58:43Z,284,C18GSJ0Y,2980,"Tagalog-Filipino, Thai, English",50,Female,Asian,Philippines,United States,United States,Tagalog-Filipino,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1,6889604eeb6ca696626e2cc5,5eaf2b7e05ff7862e21e9d3b,APPROVED,Not Applicable,2025-07-29T23:59:15Z,2025-07-30T00:06:52Z,2025-07-30T00:06:53Z,2025-07-30T00:06:53Z,458,C18GSJ0Y,7550,English,46,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
1,688964170178ab22da8d065a,66bbdb718eac7b2d0d21edf7,APPROVED,Not Applicable,2025-07-30T00:15:25Z,2025-07-30T00:21:36Z,2025-07-30T00:21:38Z,2025-07-30T00:21:36Z,371,C18GSJ0Y,713,English,49,Female,White,United States,United States,United States,English,No,Full-Time
1,6889659722d4c541a303f23b,673feeafa80a279f5cc63e33,APPROVED,Not Applicable,2025-07-30T00:25:03Z,2025-07-30T00:33:21Z,2025-07-30T00:33:24Z,2025-07-30T00:33:21Z,498,C18GSJ0Y,2736,English,62,Female,White,United States,United States,United States,English,No,Full-Time
1,6889694c3d2f19c17bcc8eee,66926bdaacd865fc152ef5ff,APPROVED,Not Applicable,2025-07-30T00:37:38Z,2025-07-30T00:40:30Z,2025-07-31T04:34:17Z,2025-07-30T00:40:30Z,173,C18GSJ0Y,3873,English,51,Female,White,United States,United States,United States,English,No,Full-Time
1,68896dcbf64db7cfd70285ae,5acb7b0ae1099600016acdd6,APPROVED,Not Applicable,2025-07-30T01:00:33Z,2025-07-30T01:05:50Z,2025-07-30T01:05:52Z,2025-07-30T01:05:50Z,317,C18GSJ0Y,8144,English,48,Male,White,United States,United States,United States,English,No,Full-Time
1,68897164307ae368e63ccf54,56e225c2ec0fdd000641e72d,APPROVED,Not Applicable,2025-07-30T01:12:08Z,2025-07-30T01:19:42Z,2025-07-30T01:19:43Z,2025-07-30T01:19:43Z,455,C18GSJ0Y,6706,English,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,68897344b30e9a3913877754,5d617ba9364f9a0019f1dac3,APPROVED,Not Applicable,2025-07-30T01:20:04Z,2025-07-30T01:29:26Z,2025-07-30T01:29:29Z,2025-07-30T01:29:26Z,562,C18GSJ0Y,11281,English,39,Female,Asian,Japan,United States,United States,Japanese,No,DATA_EXPIRED
1,68897592108f9eaf7df4684b,631f3e52174dc4e4047bbdce,RETURNED,Not Applicable,NA,NA,NA,2025-08-06T22:48:24Z,NA,NA,3774,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,6889783d0bf4df6dd2fc2e9d,67cc84a7ad8328b8bae14416,APPROVED,Not Applicable,2025-07-30T01:41:31Z,2025-07-30T02:06:53Z,2025-07-30T02:06:53Z,2025-07-30T02:06:53Z,1522,C18GSJ0Y,324,English,50,Female,Black,United States,United States,United States,English,Yes,Full-Time
1,68898238b2e7e93ff68d5dea,6717af9a3f98b3e30694012e,APPROVED,Not Applicable,2025-07-30T02:23:52Z,2025-07-30T02:30:47Z,2025-07-30T02:30:50Z,2025-07-30T02:30:47Z,415,C18GSJ0Y,7,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
1,68898407dd424897d476390a,58f7ec594bf83e000199f2e9,APPROVED,Not Applicable,2025-07-30T02:37:16Z,2025-07-30T02:41:39Z,2025-07-31T04:34:17Z,2025-07-30T02:41:39Z,263,C18GSJ0Y,2059,English,29,Female,White,United States,United States,United States,English,Yes,Full-Time
1,6889867bc8346bfd586c854c,6612d5d5abf4df0d84f44b3e,APPROVED,Not Applicable,2025-07-30T02:42:09Z,2025-07-30T02:49:16Z,2025-07-30T02:49:17Z,2025-07-30T02:49:17Z,427,C18GSJ0Y,778,English,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
